feed.url,id_str,in_reply_to_status_id,user_id_str,verified,friends_count,is_translator,statuses_count,name,favourites_count,profile_image_url,utc_offset,location,description,screen_name,lang,homepage_url,listed_count,time_zone,created_at,user_created_at,followers_count,user_id,geo_enabled,following,text,in_reply_to_user_id,retweet_count,place,favorited,in_reply_to_status_id_str,in_reply_to_screen_name,source,in_reply_to_user_id_str,retweeted,coordinates,geo,latitude,longitude,country,country_code,place_full_name
<<<<<<< HEAD
http://twitter.com/favorites/Azi_Brahim.json,76230754459324416,76123858444361728,11326952,false,1760,false,15445,Curt Monash,48,http://a2.twimg.com/profile_images/55029872/CAM_photo_shirtsleeve_normal.jpg,-18000,Planet Earth,"Industry analyst. Consultant. Blogger (DBMS2, Strategic Messaging). Friend to plucky young companies since 1981. Former Harvard public policy research fellow.",CurtMonash,en,http://www.monash.com,231,Eastern Time (US & Canada),Thu Jun 02 10:16:42 +0000 2011,Wed Dec 19 07:41:37 +0000 2007,3891,11326952,false,,"@ioerror The government's now-scaled-back claims that they fear a few informants died seem credible, but hardly outweigh Tunisia/Egypt/etc.",13862172,0,,false,76123858444361728,ioerror,web,13862172,false,,,"","","","",""
http://twitter.com/favorites/Azi_Brahim.json,75824684121325568,,36022225,false,224,false,3035,Sonia El Sakka,30,http://a1.twimg.com/profile_images/1371383495/Tahrir_2day_normal.gif,7200,Egypt,"Born in beautiful Tunisia Lives in captivating Egypt DreamerRebelliousSmilingGemini 
luv Tahrir Square Italy Palestine Syria Football Poetry Travelling &Music",SoniaElSakka,en,,9,Cairo,Wed Jun 01 07:23:08 +0000 2011,Tue Apr 28 08:35:41 +0000 2009,718,36022225,false,,Tunisian police detain Samir Feriani government critic http://t.co/jBQisZT  #Reuters #Tunisia @tounsiahourra @tounsiwaftakhir @Beheeddine,,2,,false,,,web,,false,,,"","","","",""
http://twitter.com/favorites/Azi_Brahim.json,75731217928036352,,23863039,false,287,false,1338,Tunisia Specialist,6,http://a2.twimg.com/profile_images/936541387/linkedin_normal.JPG,-21600,US/Tunisia,Promoting my beautiful country Tunisia. Tunisia offers great opportunities for investments and tourism. I am always available to provide more information. ,ziedguizani,en,http://www.blogger.com/profile/16085265650435861910,6,Central Time (US & Canada),Wed Jun 01 01:11:44 +0000 2011,Thu Mar 12 00:45:20 +0000 2009,208,23863039,true,,I think for some reason the Tunisian government is afraid to bring #ZABA and Co back to #Tunisia,,0,,false,,,web,,false,,,"","","","",""
http://twitter.com/favorites/Azi_Brahim.json,75613874216370176,,237050705,false,220,false,333,Afef Abrougui,225,http://a2.twimg.com/profile_images/1223579568/164166_449068887254_681027254_4926523_1017600_n_normal.jpg,,Tunis ,"An English Student.
A GVO author.
 Photographer.
Tunisian. Born in the 90's but a big fan of the 70's and 80's!!!!!",AfefTN,fr,http://globalvoicesonline.org/author/afef-abrougui/,14,,Tue May 31 17:25:27 +0000 2011,Tue Jan 11 23:45:31 +0000 2011,95,237050705,false,,Now it is a taboo in #Tunisia to criticise the government and the interior ministry http://shr.tn/QsZK,,2,,false,,,web,,false,,,"","","","",""
http://twitter.com/favorites/Azi_Brahim.json,75533586371067904,,23863039,false,287,false,1338,Tunisia Specialist,6,http://a2.twimg.com/profile_images/936541387/linkedin_normal.JPG,-21600,US/Tunisia,Promoting my beautiful country Tunisia. Tunisia offers great opportunities for investments and tourism. I am always available to provide more information. ,ziedguizani,en,http://www.blogger.com/profile/16085265650435861910,6,Central Time (US & Canada),Tue May 31 12:06:24 +0000 2011,Thu Mar 12 00:45:20 +0000 2009,208,23863039,true,,Tous les politiciens sont des minables- #Tunisie : Gérard Longuet hébergé aux frais du régime Ben Ali ? http://t.co/No1wJiz,,0,,false,,,"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>",,false,,,"","","","",""
http://twitter.com/favorites/Azi_Brahim.json,73802278435422208,,14616384,false,422,false,3466,Walid Saad,31,http://a1.twimg.com/profile_images/1374685494/flag_256_normal.jpg,3600,"Tunis, Tunisia","Computer Engineering Student at ESPRIT
/Internet Activist",walidsa3d,en,http://about.me/walid.saad,45,Rome,Thu May 26 17:26:49 +0000 2011,Thu May 01 16:50:00 +0000 2008,499,14616384,false,,"Censorship is back, elections postponed...nothing really changed in post-revolution Tunisia",,0,,false,,,web,,false,,,"","","","",""
http://twitter.com/favorites/Azi_Brahim.json,73387752082767872,,251145362,false,484,false,12511,James Wheeler,164,http://a0.twimg.com/profile_images/1303317129/Avatar-Flags_normal.jpg,-18000,North Africa ,"American determined to help Libya end Gaddafi's tyranny. Flew to Tunisia in April. Still in the area, working on press coverage, aid & more.",wheelertweets,en,http://www.libyafeb17.com/,73,Eastern Time (US & Canada),Wed May 25 13:59:38 +0000 2011,Sat Feb 12 14:49:37 +0000 2011,1234,251145362,true,,#Tunisia: Gov't has generally been forgiving bout contraband at checkpoints. Esp telco gear. But more & more concerned bout guns in interior,,0,,false,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,false,,,"","","","",""
http://twitter.com/favorites/Azi_Brahim.json,73379775204433920,,251145362,false,484,false,12511,James Wheeler,164,http://a0.twimg.com/profile_images/1303317129/Avatar-Flags_normal.jpg,-18000,North Africa ,"American determined to help Libya end Gaddafi's tyranny. Flew to Tunisia in April. Still in the area, working on press coverage, aid & more.",wheelertweets,en,http://www.libyafeb17.com/,73,Eastern Time (US & Canada),Wed May 25 13:27:56 +0000 2011,Sat Feb 12 14:49:37 +0000 2011,1234,251145362,true,,"#Tunisia: Gov't traffic checks are conducted by a mix of police & military. All armed. Need your passport, and French or Arabic. Not English",,2,,false,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,false,,,"","","","",""
http://twitter.com/favorites/Azi_Brahim.json,73373572390858752,,251145362,false,484,false,12511,James Wheeler,164,http://a0.twimg.com/profile_images/1303317129/Avatar-Flags_normal.jpg,-18000,North Africa ,"American determined to help Libya end Gaddafi's tyranny. Flew to Tunisia in April. Still in the area, working on press coverage, aid & more.",wheelertweets,en,http://www.libyafeb17.com/,73,Eastern Time (US & Canada),Wed May 25 13:03:17 +0000 2011,Sat Feb 12 14:49:37 +0000 2011,1234,251145362,true,,#Tunisia: The nightly curfew I mentioned previously for the Tunis metro area was lifted several days ago.,,1,,false,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,false,,,"","","","",""
http://twitter.com/favorites/Azi_Brahim.json,73367683529318400,,251145362,false,484,false,12511,James Wheeler,164,http://a0.twimg.com/profile_images/1303317129/Avatar-Flags_normal.jpg,-18000,North Africa ,"American determined to help Libya end Gaddafi's tyranny. Flew to Tunisia in April. Still in the area, working on press coverage, aid & more.",wheelertweets,en,http://www.libyafeb17.com/,73,Eastern Time (US & Canada),Wed May 25 12:39:53 +0000 2011,Sat Feb 12 14:49:37 +0000 2011,1234,251145362,true,,#Tunisia: Automated cash machines (ATMs) are plentiful - but a lot of them don't work. Attacked during the revolution. Still not repaired.,,0,,false,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,false,,,"","","","",""
=======
http://twitter.com/favorites/davethegame.json,76040376061923328,,24879596,false,221,false,3710,Kevin Kulp,200,http://a3.twimg.com/profile_images/1106680057/Kulp_headshot_ennies_normal.jpg,-18000,Boston,"Writer, Game Designer, & BBQ guy",KevinKulp,en,http://www.enworld.org,49,Eastern Time (US & Canada),Wed Jun 01 21:40:13 +0000 2011,Tue Mar 17 13:20:00 +0000 2009,561,24879596,false,,.@LaraCrigger ran a fantastic Dread game set in Dragon Age last weekend. Tremendous fun and very dark. The scenario: http://bit.ly/j0AqWe,,0,,false,,,web,,false,,,"","","","",""
http://twitter.com/favorites/davethegame.json,75908697112588288,,44482469,false,95,false,524,Shawn Merwin,0,http://a1.twimg.com/profile_images/1224593695/family_normal.jpg,-18000,Fredonia NY,"Technical Writer
RPG Freelancer/Editor",shawnmerwin,en,,15,Eastern Time (US & Canada),Wed Jun 01 12:56:58 +0000 2011,Wed Jun 03 23:00:08 +0000 2009,204,44482469,false,,http://www.goodmangames.com/4455preview.html shows a product I did a tiny bit of editing on. Interesting concept and execution. #4e #dnd,,1,,false,,,web,,false,,,"","","","",""
http://twitter.com/favorites/davethegame.json,75753376717086720,,17467023,false,751,false,15520,David A Hill Jr,1,http://a3.twimg.com/profile_images/1101537130/face_shot_normal.jpg,-28800,"Orange County, CA","Father, Husband, RPG and video game writer, I'm the liberal Fox News warns you about.",davidahilljr,en,http://machineageproductions.com/?page_id=26,86,Pacific Time (US & Canada),Wed Jun 01 02:39:47 +0000 2011,Tue Nov 18 18:05:58 +0000 2008,938,17467023,false,,"Kickstarter for #GBRPG. Levels for individuals, retailers, weddings, cons, parties. Check it. http://kck.st/kuNnem (Please RT)",,5,,false,,,"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>",,false,,,"","","","",""
http://twitter.com/favorites/davethegame.json,75725484092162049,,66532400,false,249,false,127,Chris Cieslik,1,http://a3.twimg.com/profile_images/367411680/wdp_300_normal.jpg,-18000,"Boston, MA","I make games!  For instance, We Didn't Playtest This at All, and Win, Lose, or Banana!",AsmadiGames,en,http://asmadigames.com/,23,Eastern Time (US & Canada),Wed Jun 01 00:48:56 +0000 2011,Tue Aug 18 00:00:34 +0000 2009,239,66532400,false,true,"Preview of our upcoming game, Fealty:  http://boardgamegeek.com/article/6858253  It's a strategic game, and is quite awesome.",,0,,false,,,web,,false,,,"","","","",""
http://twitter.com/favorites/davethegame.json,75721922985476096,,28187205,true,84,false,5288,Brandon Sanderson,0,http://a0.twimg.com/profile_images/1173397486/Llama_Face_normal.png,-25200,Utah,"Fantasy novelist.  Mistborn, Elantris, The Wheel of Time, The Stormlight Archive.",BrandSanderson,en,http://www.brandonsanderson.com/,1104,Mountain Time (US & Canada),Wed Jun 01 00:34:47 +0000 2011,Wed Apr 01 20:27:55 +0000 2009,18908,28187205,false,true,Tor.com is giving away 3 ARCs of Mistborn: The Alloy of Law. http://t.co/bng9LjK,,19,,false,,,"<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>",,false,,,"","","","",""
